rank,company,fortune_ticker,sec_ticker,cik,cik_padded,sec_name,edgar_submissions_api,edgar_companyfacts_api,edgar_companyconcept_revenues_api,edgar_filings_browse,status,match_source
124,GE Vernova,GEV,GEV,1996810,0001996810,GE Vernova Inc.,https://data.sec.gov/submissions/CIK0001996810.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0001996810.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0001996810/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001996810&type=&dateb=&owner=include&count=40,matched,company_tickers_json
125,Lithia Motors,LAD,LAD,1023128,0001023128,LITHIA MOTORS INC,https://data.sec.gov/submissions/CIK0001023128.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0001023128.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0001023128/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001023128&type=&dateb=&owner=include&count=40,matched,company_tickers_json
126,Honeywell,HON,HON,773840,0000773840,HONEYWELL INTERNATIONAL INC,https://data.sec.gov/submissions/CIK0000773840.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0000773840.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0000773840/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000773840&type=&dateb=&owner=include&count=40,matched,company_tickers_json
127,Micron Technology,MU,MU,723125,0000723125,MICRON TECHNOLOGY INC,https://data.sec.gov/submissions/CIK0000723125.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0000723125.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0000723125/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000723125&type=&dateb=&owner=include&count=40,matched,company_tickers_json
128,Warner Bros. Discovery,WBD,WBD,1437107,0001437107,"Warner Bros. Discovery, Inc.",https://data.sec.gov/submissions/CIK0001437107.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0001437107.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0001437107/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001437107&type=&dateb=&owner=include&count=40,matched,company_tickers_json
129,Starbucks,SBUX,SBUX,829224,0000829224,STARBUCKS CORP,https://data.sec.gov/submissions/CIK0000829224.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0000829224.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0000829224/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000829224&type=&dateb=&owner=include&count=40,matched,company_tickers_json
130,World Kinect,WKC,WKC,789460,0000789460,WORLD KINECT CORP,https://data.sec.gov/submissions/CIK0000789460.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0000789460.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0000789460/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000789460&type=&dateb=&owner=include&count=40,matched,company_tickers_json
131,Amgen,AMGN,AMGN,318154,0000318154,AMGEN INC,https://data.sec.gov/submissions/CIK0000318154.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0000318154.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0000318154/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000318154&type=&dateb=&owner=include&count=40,matched,company_tickers_json
132,SLB,SLB,SLB,87347,0000087347,SLB LIMITED/NV,https://data.sec.gov/submissions/CIK0000087347.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0000087347.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0000087347/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000087347&type=&dateb=&owner=include&count=40,matched,company_tickers_json
133,CHS,CHSCP,CHSCP,823277,0000823277,CHS INC,https://data.sec.gov/submissions/CIK0000823277.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0000823277.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0000823277/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000823277&type=&dateb=&owner=include&count=40,matched,company_tickers_json
134,Advanced Micro Devices,AMD,AMD,2488,0000002488,ADVANCED MICRO DEVICES INC,https://data.sec.gov/submissions/CIK0000002488.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0000002488/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000002488&type=&dateb=&owner=include&count=40,matched,company_tickers_json
135,Coupang,CPNG,CPNG,1834584,0001834584,"Coupang, Inc.",https://data.sec.gov/submissions/CIK0001834584.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0001834584.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0001834584/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001834584&type=&dateb=&owner=include&count=40,matched,company_tickers_json
136,Hewlett Packard,HPE,HPE,1645590,0001645590,Hewlett Packard Enterprise Co,https://data.sec.gov/submissions/CIK0001645590.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0001645590.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0001645590/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001645590&type=&dateb=&owner=include&count=40,matched,company_tickers_json
137,D.R. Horton,DHI,DHI,882184,0000882184,HORTON D R INC /DE/,https://data.sec.gov/submissions/CIK0000882184.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0000882184.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0000882184/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000882184&type=&dateb=&owner=include&count=40,matched,company_tickers_json
138,Lennar,LEN,LEN,920760,0000920760,LENNAR CORP /NEW/,https://data.sec.gov/submissions/CIK0000920760.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0000920760.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0000920760/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000920760&type=&dateb=&owner=include&count=40,matched,company_tickers_json
139,Cummins,CMI,CMI,26172,0000026172,CUMMINS INC,https://data.sec.gov/submissions/CIK0000026172.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0000026172.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0000026172/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000026172&type=&dateb=&owner=include&count=40,matched,company_tickers_json
140,Oneok,OKE,OKE,1039684,0001039684,ONEOK INC /NEW/,https://data.sec.gov/submissions/CIK0001039684.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0001039684.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0001039684/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001039684&type=&dateb=&owner=include&count=40,matched,company_tickers_json
